job_id,inferred,type
3884937111,0,Vision insurance
3884937111,0,Dental insurance
3884937111,0,401(k)
3884938374,0,Medical insurance
3884938374,0,Vision insurance
3884938374,0,Dental insurance
3884938374,0,401(k)
3884938374,0,Pension plan
3884938374,0,Child care support
3884938374,0,Paid maternity leave
3884441232,0,Medical insurance
3884441232,0,Vision insurance
3884441232,0,Dental insurance
3884921126,1,401(k)
3884440405,0,Medical insurance
3884440405,0,Vision insurance
3884440405,0,Dental insurance
3884440405,0,401(k)
3887496480,1,401(k)
3887496480,1,Disability insurance
3884442162,0,Medical insurance
3884442162,0,Vision insurance
3884442162,0,Dental insurance
3884442162,0,401(k)
3884442162,0,Paid maternity leave
3884934443,1,401(k)
3884936354,1,401(k)
3884432826,1,401(k)
3884432826,1,Medical insurance
3887493793,1,401(k)
3884441796,0,Medical insurance
3884441796,0,Vision insurance
3884441796,0,Dental insurance
3884441796,0,401(k)
3884441796,0,Paid paternity leave
3884441796,0,Paid maternity leave
3884441796,0,Child care support
3884441796,0,Disability insurance
3884441796,0,Tuition assistance
3884434944,1,401(k)
3884438760,1,Tuition assistance
3884438760,1,401(k)
3884441141,0,Medical insurance
3884441141,0,Vision insurance
3884441141,0,Dental insurance
3884441141,0,401(k)
3884441141,0,Tuition assistance
3884441141,0,Disability insurance
3887711788,1,Medical insurance
3887712534,0,Medical insurance
3887712534,0,Vision insurance
3887712534,0,Dental insurance
3887712534,0,401(k)
3887724072,0,Medical insurance
3887724072,0,Vision insurance
3887724072,0,Dental insurance
3887724072,0,401(k)
3887724072,0,Paid maternity leave
3887724072,0,Paid paternity leave
3887724072,0,Disability insurance
3887718301,1,401(k)
3887498651,1,401(k)
3887498651,1,Pension plan
3884929729,1,401(k)
3884441321,1,401(k)
3884444605,1,401(k)
3884444605,1,Dental insurance
3884444605,1,Medical insurance
3884444605,1,Vision insurance
3884937037,0,Medical insurance
3884937037,0,Dental insurance
3884937037,0,401(k)
3884937037,0,Pension plan
3884937037,0,Paid maternity leave
3884937037,0,Paid paternity leave
3884937037,0,Tuition assistance
3884937037,0,Disability insurance
3887701059,1,401(k)
3887701059,1,Disability insurance
3887716066,1,Vision insurance
3887721206,1,Medical insurance
3887721206,1,Disability insurance
3887479111,1,401(k)
3884442997,0,Medical insurance
3884442997,0,Vision insurance
3884442997,0,Dental insurance
3884442997,0,Disability insurance
3887712571,1,401(k)
3887497608,1,401(k)
3887497608,1,Disability insurance
3884928960,1,Commuter benefits
3884928960,1,401(k)
3887700191,1,401(k)
3887700191,1,Medical insurance
3884431809,0,Medical insurance
3884431809,0,Vision insurance
3884431809,0,Dental insurance
3884431809,0,401(k)
3884431809,0,Paid maternity leave
3884431809,0,Paid paternity leave
3884431809,0,Tuition assistance
3884431809,0,Disability insurance
3887715508,1,Disability insurance
3887717110,0,Medical insurance
3887717110,0,Vision insurance
3887717110,0,Dental insurance
3887717110,0,401(k)
3887717110,0,Disability insurance
3887718124,1,401(k)
3887718124,1,Medical insurance
3887717163,1,401(k)
3887717163,1,Dental insurance
3887717163,1,Medical insurance
3887717163,1,Vision insurance
3884440738,1,401(k)
3887706153,1,Medical insurance
3887706153,1,Tuition assistance
3884439918,1,401(k)
3884436002,1,Dental insurance
3884436002,1,Disability insurance
3884437430,0,Medical insurance
3884437430,0,Dental insurance
3884437430,0,401(k)
3884437430,0,Paid paternity leave
3884437430,0,Paid maternity leave
3884498748,0,Medical insurance
3884498748,0,Vision insurance
3884498748,0,Dental insurance
3884498748,0,401(k)
3884442067,0,Medical insurance
3884442067,0,Vision insurance
3884442067,0,Dental insurance
3884442067,0,401(k)
3884442067,0,Tuition assistance
3884442067,0,Disability insurance
3887498346,1,401(k)
3887714661,1,Medical insurance
3887714661,1,401(k)
3884800655,0,Medical insurance
3884800655,0,Vision insurance
3884800655,0,Dental insurance
3884800655,0,401(k)
3884800655,0,Paid maternity leave
3887720633,0,Medical insurance
3887720633,0,Vision insurance
3887720633,0,Dental insurance
3887720633,0,401(k)
3887720633,0,Pension plan
3887712250,1,401(k)
3887496592,1,401(k)
3887496592,1,Disability insurance
3884934389,1,Commuter benefits
3884934389,1,401(k)
3884934389,1,Tuition assistance
3884443116,0,Medical insurance
3884443116,0,Vision insurance
3884443116,0,Dental insurance
3884443116,0,401(k)
3884443116,0,Child care support
3884443116,0,Paid maternity leave
3884443116,0,Paid paternity leave
3884443116,0,Commuter benefits
3884443116,0,Tuition assistance
3884443116,0,Disability insurance
3887477760,1,401(k)
3887477760,1,Vision insurance
3887837475,1,Disability insurance
3887837475,1,401(k)
3884928796,1,401(k)
3887715382,0,Vision insurance
3887715382,0,Dental insurance
3887715382,0,401(k)
3887715382,0,Paid paternity leave
3887715382,0,Paid maternity leave
3887715382,0,Medical insurance
3884994017,1,401(k)
3884438525,0,Medical insurance
3884438525,0,Vision insurance
3884438525,0,Dental insurance
3884438525,0,401(k)
3884802331,0,Medical insurance
3884802331,0,Vision insurance
3884802331,0,Dental insurance
3884802331,0,401(k)
3884802331,0,Paid maternity leave
3884802331,0,Paid paternity leave
3884802331,0,Disability insurance
3887700259,1,401(k)
3887700259,1,Medical insurance
3887700424,1,401(k)
3887704942,1,401(k)
3887704942,1,Vision insurance
3887720847,0,Medical insurance
3887720847,0,Vision insurance
3887720847,0,Dental insurance
3887720847,0,401(k)
3887720847,0,Disability insurance
3887720847,0,Tuition assistance
3884934417,0,Medical insurance
3884934417,0,Vision insurance
3884934417,0,Dental insurance
3884934417,0,401(k)
3884934417,0,Tuition assistance
3884934417,0,Disability insurance
3887836565,1,Disability insurance
3887836565,1,401(k)
3887480528,0,Medical insurance
3887480528,0,Vision insurance
3887480528,0,Dental insurance
3887480528,0,401(k)
3887480528,0,Tuition assistance
3887837646,0,Medical insurance
3887837646,0,Vision insurance
3887837646,0,Dental insurance
3887837646,0,401(k)
3887499529,1,401(k)
3887499529,1,Disability insurance
3887710723,1,Disability insurance
